ID,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
122,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S
123,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L
124,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L
125,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L
126,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S
127,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L
128,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S
129,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L
130,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S
131,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M
132,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M
133,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M
134,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L
135,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M
136,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
137,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M
138,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S
139,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
140,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S
141,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S
142,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
143,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
144,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S
145,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S
146,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S
147,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S
148,2021,MI,FT,Data Science Lead,150000,USD,150000,US,100,US,M
149,2021,MI,FT,AI Scientist,30000,USD,30000,GH,0,GH,S
150,2021,EN,FT,Marketing Data Engineer,90000,SGD,66970,SG,50,SG,L
151,2021,SE,FT,Data Scientist,4000000,INR,54094,IN,100,IN,L
152,2021,MI,FT,Data Analyst,1250000,INR,16904,IN,50,IN,L
153,2021,SE,FT,Data Analyst,115000,USD,115000,US,100,US,S
154,2021,EN,FT,3D Computer Vision Researcher,20000,USD,20000,AS,0,AS,M
155,2021,MI,FL,Autonomous Vehicle Technician,45555,USD,45555,AS,50,BS,M
156,2021,EN,FT,Power BI Developer,400000,INR,5409,IN,50,IN,L
157,2021,MI,FT,Data Engineer,100000,AUD,75050,AU,50,AU,L
158,2021,EN,FT,Data Analyst,56000,AUD,42028,AU,50,AU,L
159,2021,EN,FT,Machine Learning Research Engineer,20000,USD,20000,FR,50,FR,M
160,2021,EN,FT,Machine Learning Developer,15000,USD,15000,TH,100,TH,L
161,2021,EN,FT,Data Engineer,33000,GBP,45390,GB,50,GB,L
162,2021,EN,PT,Computer Vision Software Engineer,120000,DKK,19073,DK,50,DK,L
163,2021,SE,FT,Data Analyst,50000,USD,50000,PH,100,PH,S
164,2021,EN,FT,Machine Learning Research Engineer,900000,INR,12171,IN,100,IN,M
165,2021,SE,FT,Cloud Data Architect,250000,USD,250000,US,50,US,L
166,2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L
167,2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L
168,2021,SE,FT,Head of Data,87000,EUR,102839,SI,100,SI,L
169,2021,MI,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L
170,2021,SE,FT,Data Engineer,150000,USD,150000,US,0,US,L
171,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
172,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L
173,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
174,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L
175,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S
176,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S
177,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M
178,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S
179,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M
180,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
181,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
182,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
183,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L
184,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
185,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S
186,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
187,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M
188,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
189,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
190,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
191,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
192,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
193,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S
194,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
195,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M
196,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M
197,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L
198,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L
199,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L
200,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
201,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L
202,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L
203,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M
204,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L
205,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M
206,2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L
207,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
208,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
209,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L
210,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
211,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
212,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L
213,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
214,2021,SE,FT,Data Engineer,153000,USD,153000,US,100,US,L
215,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
216,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
217,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
218,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
219,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
220,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M
221,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L
222,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L
223,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S
224,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L
225,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L
226,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L
227,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L
228,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M
229,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S
230,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L
231,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L
232,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
233,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M
234,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
235,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L
236,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L
237,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
238,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
239,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S
240,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L
241,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S
242,2021,SE,FT,Data Engineer,82500,GBP,113476,GB,100,GB,M
243,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L
244,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L
245,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
246,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S
247,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L
248,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L
249,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L
250,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L
251,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S
252,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
253,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L
254,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L
255,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L
256,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S
257,2021,SE,FT,Data Engineer,174000,USD,174000,US,100,US,L
258,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L
259,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M
260,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L
261,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
262,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
263,2021,SE,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L
264,2021,MI,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M
265,2021,EN,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L
266,2021,MI,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L
267,2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M
268,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
269,2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
270,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L
271,2021,EN,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M
272,2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M
273,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S
274,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
275,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L
276,2021,SE,FT,Data Engineer,200000,USD,200000,US,100,US,L
277,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
278,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
279,2021,EN,FT,Data Engineer,72500,USD,72500,US,100,US,L
280,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
281,2021,MI,PT,Data Engineer,59000,EUR,69741,NL,100,NL,L
282,2021,EN,FT,Research Scientist,100000,USD,100000,JE,0,CN,L
283,2021,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L
284,2021,SE,FT,Data Scientist,180000,TRY,20171,TR,50,TR,L
285,2021,SE,FT,AI Scientist,55000,USD,55000,ES,100,ES,L
286,2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L
287,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
288,2021,SE,FT,Data Scientist,65720,EUR,77684,FR,50,FR,M
289,2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S
290,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L
291,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
292,2021,EN,FT,Data Engineer,55000,EUR,65013,DE,50,DE,M
293,2021,MI,FT,Data Engineer,250000,TRY,28016,TR,100,TR,M
294,2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M
295,2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M
296,2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S
297,2021,MI,FT,Data Scientist,21600,EUR,25532,RS,100,DE,S
298,2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L
299,2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S
300,2021,SE,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L
301,2021,EX,FT,Director of Data Science,120000,EUR,141846,DE,0,DE,L
302,2021,EN,FT,Big Data Engineer,1200000,INR,16228,IN,100,IN,L
303,2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M
304,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
305,2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M
306,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L
307,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L
308,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S
309,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
310,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L
311,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
312,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M
313,2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S
314,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M
315,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L
316,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
317,2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L
318,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S
319,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
320,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L
321,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
322,2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M
323,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
324,2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L
325,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
326,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
327,2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L
328,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M
329,2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L
330,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L
331,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M
332,2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S
333,2021,MI,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L
334,2021,MI,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S
335,2021,MI,FT,Research Scientist,48000,EUR,56738,FR,50,FR,S
336,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
337,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
338,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L
339,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
340,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
341,2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S
342,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M
343,2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S
344,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
345,2021,EN,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,L
346,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
347,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
348,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S
349,2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L
350,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
351,2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S
352,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
353,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
354,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S
355,2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L
356,2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M
357,2021,EN,FT,Business Data Analyst,50000,EUR,59102,LU,100,LU,L
358,2021,SE,FT,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M
359,2021,MI,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M
360,2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S
361,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
362,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
363,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L
364,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S
365,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L
